,Date,FieldID,Parcela,Value
0,2015-03-01,Part/SV-qE9VaZ,ASA,4161
1,2015-03-10,Part/SV-qE9VaZ,ASA,4199
2,2015-03-20,Part/SV-qE9VaZ,ASA,4251
3,2015-04-01,Part/SV-qE9VaZ,ASA,4320
4,2015-04-10,Part/SV-qE9VaZ,ASA,4418
5,2015-04-20,Part/SV-qE9VaZ,ASA,4572
6,2015-05-01,Part/SV-qE9VaZ,ASA,4819
7,2015-05-10,Part/SV-qE9VaZ,ASA,5159
8,2015-05-20,Part/SV-qE9VaZ,ASA,5479
9,2015-06-01,Part/SV-qE9VaZ,ASA,5747
10,2015-06-10,Part/SV-qE9VaZ,ASA,5966
11,2015-06-20,Part/SV-qE9VaZ,ASA,6060
12,2015-07-01,Part/SV-qE9VaZ,ASA,6077
13,2015-07-10,Part/SV-qE9VaZ,ASA,6057
14,2015-07-20,Part/SV-qE9VaZ,ASA,6011
15,2015-08-01,Part/SV-qE9VaZ,ASA,5957
16,2015-08-10,Part/SV-qE9VaZ,ASA,5898
17,2015-08-20,Part/SV-qE9VaZ,ASA,5846
18,2015-09-01,Part/SV-qE9VaZ,ASA,5805
19,2015-09-10,Part/SV-qE9VaZ,ASA,5777
20,2015-09-20,Part/SV-qE9VaZ,ASA,5773
21,2015-10-01,Part/SV-qE9VaZ,ASA,5789
22,2015-10-10,Part/SV-qE9VaZ,ASA,5836
23,2015-10-20,Part/SV-qE9VaZ,ASA,5911
24,2015-11-01,Part/SV-qE9VaZ,ASA,5992
25,2015-11-10,Part/SV-qE9VaZ,ASA,6058
26,2015-11-20,Part/SV-qE9VaZ,ASA,6067
27,2015-12-01,Part/SV-qE9VaZ,ASA,6027
28,2015-12-10,Part/SV-qE9VaZ,ASA,5922
29,2015-12-20,Part/SV-qE9VaZ,ASA,5748
30,2016-01-01,Part/SV-qE9VaZ,ASA,5461
31,2016-01-10,Part/SV-qE9VaZ,ASA,5163
32,2016-01-20,Part/SV-qE9VaZ,ASA,4884
33,2016-02-01,Part/SV-qE9VaZ,ASA,4590
34,2016-02-10,Part/SV-qE9VaZ,ASA,4299
35,2016-02-20,Part/SV-qE9VaZ,ASA,4097
36,2016-03-01,Part/SV-qE9VaZ,ASA,3987
37,2016-03-10,Part/SV-qE9VaZ,ASA,3948
38,2016-03-20,Part/SV-qE9VaZ,ASA,3934
39,2016-04-01,Part/SV-qE9VaZ,ASA,3954
40,2016-04-10,Part/SV-qE9VaZ,ASA,4019
41,2016-04-20,Part/SV-qE9VaZ,ASA,4143
42,2016-05-01,Part/SV-qE9VaZ,ASA,4320
43,2016-05-10,Part/SV-qE9VaZ,ASA,4558
44,2016-05-20,Part/SV-qE9VaZ,ASA,4826
45,2016-06-01,Part/SV-qE9VaZ,ASA,5120
46,2016-06-10,Part/SV-qE9VaZ,ASA,5376
47,2016-06-20,Part/SV-qE9VaZ,ASA,5603
48,2016-07-01,Part/SV-qE9VaZ,ASA,5806
49,2016-07-10,Part/SV-qE9VaZ,ASA,5943
50,2016-07-20,Part/SV-qE9VaZ,ASA,6003
51,2016-08-01,Part/SV-qE9VaZ,ASA,6010
52,2016-08-10,Part/SV-qE9VaZ,ASA,5973
53,2016-08-20,Part/SV-qE9VaZ,ASA,5908
54,2016-09-01,Part/SV-qE9VaZ,ASA,5853
55,2016-09-10,Part/SV-qE9VaZ,ASA,5826
56,2016-09-20,Part/SV-qE9VaZ,ASA,5827
57,2016-10-01,Part/SV-qE9VaZ,ASA,5857
58,2016-10-10,Part/SV-qE9VaZ,ASA,5934
59,2016-10-20,Part/SV-qE9VaZ,ASA,6044
60,2016-11-01,Part/SV-qE9VaZ,ASA,6118
61,2016-11-10,Part/SV-qE9VaZ,ASA,6145
62,2016-11-20,Part/SV-qE9VaZ,ASA,6116
63,2016-12-01,Part/SV-qE9VaZ,ASA,6022
64,2016-12-10,Part/SV-qE9VaZ,ASA,5884
65,2016-12-20,Part/SV-qE9VaZ,ASA,5728
66,2017-01-01,Part/SV-qE9VaZ,ASA,5563
67,2017-01-10,Part/SV-qE9VaZ,ASA,5328
68,2017-01-20,Part/SV-qE9VaZ,ASA,4978
69,2017-02-01,Part/SV-qE9VaZ,ASA,4563
70,2017-02-10,Part/SV-qE9VaZ,ASA,4207
71,2017-02-20,Part/SV-qE9VaZ,ASA,3961
72,2017-03-01,Part/SV-qE9VaZ,ASA,3761
73,2017-03-10,Part/SV-qE9VaZ,ASA,3758
74,2017-03-20,Part/SV-qE9VaZ,ASA,3798
75,2017-04-01,Part/SV-qE9VaZ,ASA,3900
76,2017-04-10,Part/SV-qE9VaZ,ASA,4052
77,2017-04-20,Part/SV-qE9VaZ,ASA,4265
78,2017-05-01,Part/SV-qE9VaZ,ASA,4537
79,2017-05-10,Part/SV-qE9VaZ,ASA,4841
80,2017-05-20,Part/SV-qE9VaZ,ASA,5131
81,2017-06-01,Part/SV-qE9VaZ,ASA,5418
82,2017-06-10,Part/SV-qE9VaZ,ASA,5674
83,2017-06-20,Part/SV-qE9VaZ,ASA,5880
84,2017-07-01,Part/SV-qE9VaZ,ASA,6017
85,2017-07-10,Part/SV-qE9VaZ,ASA,6112
86,2017-07-20,Part/SV-qE9VaZ,ASA,6138
87,2017-08-01,Part/SV-qE9VaZ,ASA,6150
88,2017-08-10,Part/SV-qE9VaZ,ASA,6144
89,2017-08-20,Part/SV-qE9VaZ,ASA,6121
90,2017-09-01,Part/SV-qE9VaZ,ASA,6097
91,2017-09-10,Part/SV-qE9VaZ,ASA,6073
92,2017-09-20,Part/SV-qE9VaZ,ASA,6061
93,2017-10-01,Part/SV-qE9VaZ,ASA,6075
94,2017-10-10,Part/SV-qE9VaZ,ASA,6119
95,2017-10-20,Part/SV-qE9VaZ,ASA,6179
96,2017-11-01,Part/SV-qE9VaZ,ASA,6234
97,2017-11-10,Part/SV-qE9VaZ,ASA,6236
98,2017-11-20,Part/SV-qE9VaZ,ASA,6159
