,Date,FieldID,Parcela,Value
0,2014-03-01,Part/SV-MzPH4V,ASA,5889
1,2014-03-10,Part/SV-MzPH4V,ASA,5845
2,2014-03-20,Part/SV-MzPH4V,ASA,5779
3,2014-04-01,Part/SV-MzPH4V,ASA,5706
4,2014-04-10,Part/SV-MzPH4V,ASA,5649
5,2014-04-20,Part/SV-MzPH4V,ASA,5609
6,2014-05-01,Part/SV-MzPH4V,ASA,5605
7,2014-05-10,Part/SV-MzPH4V,ASA,5639
8,2014-05-20,Part/SV-MzPH4V,ASA,5733
9,2014-06-01,Part/SV-MzPH4V,ASA,5897
10,2014-06-10,Part/SV-MzPH4V,ASA,6052
11,2014-06-20,Part/SV-MzPH4V,ASA,6155
12,2014-07-01,Part/SV-MzPH4V,ASA,6196
13,2014-07-10,Part/SV-MzPH4V,ASA,6208
14,2014-07-20,Part/SV-MzPH4V,ASA,6189
15,2014-08-01,Part/SV-MzPH4V,ASA,6150
16,2014-08-10,Part/SV-MzPH4V,ASA,6106
17,2014-08-20,Part/SV-MzPH4V,ASA,6059
18,2014-09-01,Part/SV-MzPH4V,ASA,6012
19,2014-09-10,Part/SV-MzPH4V,ASA,5967
20,2014-09-20,Part/SV-MzPH4V,ASA,5927
21,2014-10-01,Part/SV-MzPH4V,ASA,5900
22,2014-10-10,Part/SV-MzPH4V,ASA,5891
23,2014-10-20,Part/SV-MzPH4V,ASA,5906
24,2014-11-01,Part/SV-MzPH4V,ASA,5942
25,2014-11-10,Part/SV-MzPH4V,ASA,6017
26,2014-11-20,Part/SV-MzPH4V,ASA,6099
27,2014-12-01,Part/SV-MzPH4V,ASA,6159
28,2014-12-10,Part/SV-MzPH4V,ASA,6200
29,2014-12-20,Part/SV-MzPH4V,ASA,6223
30,2015-01-01,Part/SV-MzPH4V,ASA,6223
31,2015-01-10,Part/SV-MzPH4V,ASA,6202
32,2015-01-20,Part/SV-MzPH4V,ASA,6153
33,2015-02-01,Part/SV-MzPH4V,ASA,6088
34,2015-02-10,Part/SV-MzPH4V,ASA,5992
35,2015-02-20,Part/SV-MzPH4V,ASA,5892
36,2015-03-01,Part/SV-MzPH4V,ASA,5727
37,2015-03-10,Part/SV-MzPH4V,ASA,5664
38,2015-03-20,Part/SV-MzPH4V,ASA,5570
39,2015-04-01,Part/SV-MzPH4V,ASA,5436
40,2015-04-10,Part/SV-MzPH4V,ASA,5304
41,2015-04-20,Part/SV-MzPH4V,ASA,5241
42,2015-05-01,Part/SV-MzPH4V,ASA,5215
43,2015-05-10,Part/SV-MzPH4V,ASA,5226
44,2015-05-20,Part/SV-MzPH4V,ASA,5291
45,2015-06-01,Part/SV-MzPH4V,ASA,5403
46,2015-06-10,Part/SV-MzPH4V,ASA,5568
47,2015-06-20,Part/SV-MzPH4V,ASA,5741
48,2015-07-01,Part/SV-MzPH4V,ASA,5919
49,2015-07-10,Part/SV-MzPH4V,ASA,6043
50,2015-07-20,Part/SV-MzPH4V,ASA,6100
51,2015-08-01,Part/SV-MzPH4V,ASA,6123
52,2015-08-10,Part/SV-MzPH4V,ASA,6121
53,2015-08-20,Part/SV-MzPH4V,ASA,6089
54,2015-09-01,Part/SV-MzPH4V,ASA,6033
55,2015-09-10,Part/SV-MzPH4V,ASA,5971
56,2015-09-20,Part/SV-MzPH4V,ASA,5915
57,2015-10-01,Part/SV-MzPH4V,ASA,5869
