,Date,FieldID,Parcela,Value
0,2015-03-01,NI_480,ASA,8636
1,2015-03-10,NI_480,ASA,8543
2,2015-03-20,NI_480,ASA,8437
3,2015-04-01,NI_480,ASA,8353
4,2015-04-10,NI_480,ASA,8293
5,2015-04-20,NI_480,ASA,8306
6,2015-05-01,NI_480,ASA,8486
7,2015-05-10,NI_480,ASA,8752
8,2015-05-20,NI_480,ASA,9051
9,2015-06-01,NI_480,ASA,9332
10,2015-06-10,NI_480,ASA,9568
11,2015-06-20,NI_480,ASA,9723
12,2015-07-01,NI_480,ASA,9821
13,2015-07-10,NI_480,ASA,9843
14,2015-07-20,NI_480,ASA,9828
15,2015-08-01,NI_480,ASA,9793
16,2015-08-10,NI_480,ASA,9762
17,2015-08-20,NI_480,ASA,9744
18,2015-09-01,NI_480,ASA,9746
19,2015-09-10,NI_480,ASA,9780
20,2015-09-20,NI_480,ASA,9826
21,2015-10-01,NI_480,ASA,9897
22,2015-10-10,NI_480,ASA,9958
23,2015-10-20,NI_480,ASA,9992
24,2015-11-01,NI_480,ASA,9999
25,2015-11-10,NI_480,ASA,9999
26,2015-11-20,NI_480,ASA,9996
27,2015-12-01,NI_480,ASA,9983
28,2015-12-10,NI_480,ASA,9950
29,2015-12-20,NI_480,ASA,9889
30,2016-01-01,NI_480,ASA,9830
31,2016-01-10,NI_480,ASA,9818
32,2016-01-20,NI_480,ASA,9827
33,2016-02-01,NI_480,ASA,9836
34,2016-02-10,NI_480,ASA,9673
35,2016-02-20,NI_480,ASA,9424
36,2016-03-01,NI_480,ASA,9325
37,2016-03-10,NI_480,ASA,9235
38,2016-03-20,NI_480,ASA,9108
39,2016-04-01,NI_480,ASA,8981
40,2016-04-10,NI_480,ASA,8855
41,2016-04-20,NI_480,ASA,8765
42,2016-05-01,NI_480,ASA,8747
43,2016-05-10,NI_480,ASA,8797
44,2016-05-20,NI_480,ASA,8955
45,2016-06-01,NI_480,ASA,9154
46,2016-06-10,NI_480,ASA,9349
47,2016-06-20,NI_480,ASA,9600
48,2016-07-01,NI_480,ASA,9771
49,2016-07-10,NI_480,ASA,9831
50,2016-07-20,NI_480,ASA,9871
51,2016-08-01,NI_480,ASA,9933
52,2016-08-10,NI_480,ASA,9985
53,2016-08-20,NI_480,ASA,9998
54,2016-09-01,NI_480,ASA,9998
55,2016-09-10,NI_480,ASA,9992
56,2016-09-20,NI_480,ASA,9971
57,2016-10-01,NI_480,ASA,9936
58,2016-10-10,NI_480,ASA,9898
59,2016-10-20,NI_480,ASA,9862
60,2016-11-01,NI_480,ASA,9838
61,2016-11-10,NI_480,ASA,9806
62,2016-11-20,NI_480,ASA,9772
63,2016-12-01,NI_480,ASA,9745
64,2016-12-10,NI_480,ASA,9747
65,2016-12-20,NI_480,ASA,9656
66,2017-01-01,NI_480,ASA,9121
67,2017-01-10,NI_480,ASA,8119
68,2017-01-20,NI_480,ASA,7155
69,2017-02-01,NI_480,ASA,6289
70,2017-02-10,NI_480,ASA,5882
71,2017-02-20,NI_480,ASA,5893
72,2017-03-01,NI_480,ASA,6488
73,2017-03-10,NI_480,ASA,6815
74,2017-03-20,NI_480,ASA,7597
75,2017-04-01,NI_480,ASA,8545
76,2017-04-10,NI_480,ASA,9234
77,2017-04-20,NI_480,ASA,9508
78,2017-05-01,NI_480,ASA,9630
79,2017-05-10,NI_480,ASA,9638
80,2017-05-20,NI_480,ASA,9610
81,2017-06-01,NI_480,ASA,9566
82,2017-06-10,NI_480,ASA,9551
83,2017-06-20,NI_480,ASA,9579
84,2017-07-01,NI_480,ASA,9647
85,2017-07-10,NI_480,ASA,9749
86,2017-07-20,NI_480,ASA,9872
87,2017-08-01,NI_480,ASA,9961
88,2017-08-10,NI_480,ASA,9990
89,2017-08-20,NI_480,ASA,9955
90,2017-09-01,NI_480,ASA,9865
91,2017-09-10,NI_480,ASA,9760
92,2017-09-20,NI_480,ASA,9667
93,2017-10-01,NI_480,ASA,9572
94,2017-10-10,NI_480,ASA,9514
95,2017-10-20,NI_480,ASA,9493
96,2017-11-01,NI_480,ASA,9502
97,2017-11-10,NI_480,ASA,9567
98,2017-11-20,NI_480,ASA,9716
99,2017-12-01,NI_480,ASA,9888
100,2017-12-10,NI_480,ASA,9959
101,2017-12-20,NI_480,ASA,9981
102,2018-01-01,NI_480,ASA,9992
103,2018-01-10,NI_480,ASA,9962
104,2018-01-20,NI_480,ASA,9852
105,2018-02-01,NI_480,ASA,9751
106,2018-02-10,NI_480,ASA,9668
107,2018-02-20,NI_480,ASA,9631
108,2018-03-01,NI_480,ASA,8609
109,2018-03-10,NI_480,ASA,8321
110,2018-03-20,NI_480,ASA,8340
111,2018-04-01,NI_480,ASA,8558
112,2018-04-10,NI_480,ASA,8737
113,2018-04-20,NI_480,ASA,9002
114,2018-05-01,NI_480,ASA,9242
115,2018-05-10,NI_480,ASA,9605
116,2018-05-20,NI_480,ASA,9859
117,2018-06-01,NI_480,ASA,9892
118,2018-06-10,NI_480,ASA,9911
119,2018-06-20,NI_480,ASA,9925
120,2018-07-01,NI_480,ASA,9921
121,2018-07-10,NI_480,ASA,9908
122,2018-07-20,NI_480,ASA,9895
123,2018-08-01,NI_480,ASA,9889
124,2018-08-10,NI_480,ASA,9913
125,2018-08-20,NI_480,ASA,9960
126,2018-09-01,NI_480,ASA,9929
127,2018-09-10,NI_480,ASA,9721
128,2018-09-20,NI_480,ASA,9369
129,2018-10-01,NI_480,ASA,9015
130,2018-10-10,NI_480,ASA,8890
131,2018-10-20,NI_480,ASA,8954
132,2018-11-01,NI_480,ASA,9224
133,2018-11-10,NI_480,ASA,9625
134,2018-11-20,NI_480,ASA,9837
135,2018-12-01,NI_480,ASA,9860
136,2018-12-10,NI_480,ASA,9823
137,2018-12-20,NI_480,ASA,9632
138,2019-01-01,NI_480,ASA,9223
139,2019-01-10,NI_480,ASA,8717
140,2019-01-20,NI_480,ASA,8174
141,2019-02-01,NI_480,ASA,7768
142,2019-02-10,NI_480,ASA,8125
143,2019-02-20,NI_480,ASA,8986
144,2019-03-01,NI_480,ASA,8859
145,2019-03-10,NI_480,ASA,9047
146,2019-03-20,NI_480,ASA,9259
147,2019-04-01,NI_480,ASA,9063
148,2019-04-10,NI_480,ASA,9030
149,2019-04-20,NI_480,ASA,9271
150,2019-05-01,NI_480,ASA,9562
151,2019-05-10,NI_480,ASA,9680
152,2019-05-20,NI_480,ASA,9691
153,2019-06-01,NI_480,ASA,9758
154,2019-06-10,NI_480,ASA,9847
155,2019-06-20,NI_480,ASA,9856
156,2019-07-01,NI_480,ASA,9872
157,2019-07-10,NI_480,ASA,9900
158,2019-07-20,NI_480,ASA,9926
159,2019-08-01,NI_480,ASA,9942
160,2019-08-10,NI_480,ASA,9714
161,2019-08-20,NI_480,ASA,9072
162,2019-09-01,NI_480,ASA,8429
163,2019-09-10,NI_480,ASA,8116
164,2019-09-20,NI_480,ASA,7965
165,2019-10-01,NI_480,ASA,7949
166,2019-10-10,NI_480,ASA,8095
167,2019-10-20,NI_480,ASA,8361
168,2019-11-01,NI_480,ASA,8537
169,2019-11-10,NI_480,ASA,9015
170,2019-11-20,NI_480,ASA,9447
171,2019-12-01,NI_480,ASA,9422
172,2019-12-10,NI_480,ASA,9433
173,2019-12-20,NI_480,ASA,9617
174,2020-01-01,NI_480,ASA,9755
175,2020-01-10,NI_480,ASA,9612
176,2020-01-20,NI_480,ASA,9295
177,2020-02-01,NI_480,ASA,8957
178,2020-02-10,NI_480,ASA,8250
179,2020-02-20,NI_480,ASA,7671
180,2020-03-01,NI_480,ASA,7207
181,2020-03-10,NI_480,ASA,7343
182,2020-03-20,NI_480,ASA,6872
183,2020-04-01,NI_480,ASA,6545
184,2020-04-10,NI_480,ASA,6350
185,2020-04-20,NI_480,ASA,6823
186,2020-05-01,NI_480,ASA,7830
187,2020-05-10,NI_480,ASA,8907
188,2020-05-20,NI_480,ASA,9614
189,2020-06-01,NI_480,ASA,9903
190,2020-06-10,NI_480,ASA,9984
191,2020-06-20,NI_480,ASA,9972
192,2020-07-01,NI_480,ASA,9974
193,2020-07-10,NI_480,ASA,9975
194,2020-07-20,NI_480,ASA,9976
195,2020-08-01,NI_480,ASA,9961
196,2020-08-10,NI_480,ASA,9920
197,2020-08-20,NI_480,ASA,9848
198,2020-09-01,NI_480,ASA,9790
199,2020-09-10,NI_480,ASA,9767
200,2020-09-20,NI_480,ASA,9776
201,2020-10-01,NI_480,ASA,9821
202,2020-10-10,NI_480,ASA,9860
203,2020-10-20,NI_480,ASA,9840
204,2020-11-01,NI_480,ASA,9745
205,2020-11-10,NI_480,ASA,9663
206,2020-11-20,NI_480,ASA,9654
207,2020-12-01,NI_480,ASA,9696
208,2020-12-10,NI_480,ASA,9650
209,2020-12-20,NI_480,ASA,9365
210,2021-01-01,NI_480,ASA,8891
211,2021-01-10,NI_480,ASA,8113
212,2021-01-20,NI_480,ASA,7510
213,2021-02-01,NI_480,ASA,7663
214,2021-02-10,NI_480,ASA,8518
215,2021-02-20,NI_480,ASA,9326
216,2021-03-01,NI_480,ASA,9711
217,2021-03-10,NI_480,ASA,9966
218,2021-03-20,NI_480,ASA,9717
219,2021-04-01,NI_480,ASA,9216
220,2021-04-10,NI_480,ASA,8912
221,2021-04-20,NI_480,ASA,8714
222,2021-05-01,NI_480,ASA,8531
223,2021-05-10,NI_480,ASA,8472
224,2021-05-20,NI_480,ASA,8666
225,2021-06-01,NI_480,ASA,9017
226,2021-06-10,NI_480,ASA,9191
227,2021-06-20,NI_480,ASA,9363
228,2021-07-01,NI_480,ASA,9723
229,2021-07-10,NI_480,ASA,9935
230,2021-07-20,NI_480,ASA,9901
231,2021-08-01,NI_480,ASA,9835
232,2021-08-10,NI_480,ASA,9859
233,2021-08-20,NI_480,ASA,9963
234,2021-09-01,NI_480,ASA,9900
235,2021-09-10,NI_480,ASA,9051
