,FieldID,AgYR,SZNwindow,SznStd,plotSZNmean,Group
0,NI_295,2016,main crop,242.76899131797518,-139.72222222222223,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
18,NI_307,2016,main crop,242.76899131797518,-38.77777777777778,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
36,NI_313,2016,main crop,242.76899131797518,314.3333333333333,1: (A>T) avg seasonal A-T diff greater than +1SD
54,NI_385,2016,main crop,242.76899131797518,-119.27777777777777,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
72,NI_407,2016,main crop,242.76899131797518,275.6666666666667,1: (A>T) avg seasonal A-T diff greater than +1SD
90,NI_248,2016,main crop,242.76899131797518,-46.111111111111114,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
108,NI_258,2016,main crop,242.76899131797518,-266.94444444444446,4: (T>A) avg seasonal A-T diff less than -1SD
126,NI_147,2016,main crop,242.76899131797518,-336.0,4: (T>A) avg seasonal A-T diff less than -1SD
144,NI_192,2016,main crop,242.76899131797518,58.833333333333336,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
162,NI_218,2016,main crop,242.76899131797518,95.72222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
180,NI_480,2016,main crop,242.76899131797518,560.6111111111111,1: (A>T) avg seasonal A-T diff greater than +1SD
198,NI_660,2016,main crop,242.76899131797518,9.11111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
216,NI_697,2016,main crop,242.76899131797518,260.3333333333333,1: (A>T) avg seasonal A-T diff greater than +1SD
234,NI_470,2016,main crop,242.76899131797518,140.83333333333334,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
252,NI_482,2016,main crop,242.76899131797518,228.77777777777777,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
270,NI_599,2016,main crop,242.76899131797518,51.27777777777778,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
288,NI_634,2016,main crop,242.76899131797518,-102.88888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
306,NI_698,2016,main crop,242.76899131797518,-80.11111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
324,NI_581,2016,main crop,242.76899131797518,-85.66666666666667,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
342,NI_295,2016,COVER CROP,442.28559254540164,126.44444444444444,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
351,NI_307,2016,COVER CROP,442.28559254540164,-406.0,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
360,NI_313,2016,COVER CROP,442.28559254540164,453.22222222222223,1: (A>T) avg seasonal A-T diff greater than +1SD
369,NI_385,2016,COVER CROP,442.28559254540164,324.77777777777777,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
378,NI_407,2016,COVER CROP,442.28559254540164,591.8888888888889,1: (A>T) avg seasonal A-T diff greater than +1SD
387,NI_248,2016,COVER CROP,442.28559254540164,-457.0,4: (T>A) avg seasonal A-T diff less than -1SD
396,NI_258,2016,COVER CROP,442.28559254540164,-214.88888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
405,NI_147,2016,COVER CROP,442.28559254540164,-1274.4444444444443,4: (T>A) avg seasonal A-T diff less than -1SD
414,NI_192,2016,COVER CROP,442.28559254540164,277.3333333333333,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
423,NI_218,2016,COVER CROP,442.28559254540164,139.44444444444446,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
432,NI_480,2016,COVER CROP,442.28559254540164,459.6666666666667,1: (A>T) avg seasonal A-T diff greater than +1SD
441,NI_660,2016,COVER CROP,442.28559254540164,-19.555555555555557,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
450,NI_697,2016,COVER CROP,442.28559254540164,81.66666666666667,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
459,NI_470,2016,COVER CROP,442.28559254540164,79.11111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
468,NI_482,2016,COVER CROP,442.28559254540164,368.8888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
477,NI_599,2016,COVER CROP,442.28559254540164,-83.88888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
486,NI_634,2016,COVER CROP,442.28559254540164,-64.66666666666667,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
495,NI_698,2016,COVER CROP,442.28559254540164,11.555555555555555,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
504,NI_581,2016,COVER CROP,442.28559254540164,34.22222222222222,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
513,NI_295,2016,CROP RESIDUE,261.4345856746182,17.666666666666668,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
522,NI_307,2016,CROP RESIDUE,261.4345856746182,-26.666666666666668,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
531,NI_313,2016,CROP RESIDUE,261.4345856746182,344.77777777777777,1: (A>T) avg seasonal A-T diff greater than +1SD
540,NI_385,2016,CROP RESIDUE,261.4345856746182,93.55555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
549,NI_407,2016,CROP RESIDUE,261.4345856746182,228.66666666666666,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
558,NI_248,2016,CROP RESIDUE,261.4345856746182,-267.1111111111111,4: (T>A) avg seasonal A-T diff less than -1SD
567,NI_258,2016,CROP RESIDUE,261.4345856746182,-234.44444444444446,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
576,NI_147,2016,CROP RESIDUE,261.4345856746182,-409.8888888888889,4: (T>A) avg seasonal A-T diff less than -1SD
585,NI_192,2016,CROP RESIDUE,261.4345856746182,178.22222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
594,NI_218,2016,CROP RESIDUE,261.4345856746182,97.55555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
603,NI_480,2016,CROP RESIDUE,261.4345856746182,449.8888888888889,1: (A>T) avg seasonal A-T diff greater than +1SD
612,NI_660,2016,CROP RESIDUE,261.4345856746182,-83.11111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
621,NI_697,2016,CROP RESIDUE,261.4345856746182,-255.44444444444446,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
630,NI_470,2016,CROP RESIDUE,261.4345856746182,239.11111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
639,NI_482,2016,CROP RESIDUE,261.4345856746182,146.22222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
648,NI_599,2016,CROP RESIDUE,261.4345856746182,107.33333333333333,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
657,NI_634,2016,CROP RESIDUE,261.4345856746182,-261.22222222222223,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
666,NI_698,2016,CROP RESIDUE,261.4345856746182,78.11111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
675,NI_581,2016,CROP RESIDUE,261.4345856746182,196.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
684,NI_295,2017,main crop,482.93068578460037,-111.38888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
702,NI_307,2017,main crop,482.93068578460037,-202.44444444444446,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
720,NI_313,2017,main crop,482.93068578460037,457.22222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
738,NI_385,2017,main crop,482.93068578460037,170.05555555555554,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
756,NI_407,2017,main crop,482.93068578460037,10.61111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
774,NI_248,2017,main crop,482.93068578460037,15.666666666666666,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
792,NI_258,2017,main crop,482.93068578460037,-204.61111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
810,NI_147,2017,main crop,482.93068578460037,-1174.888888888889,4: (T>A) avg seasonal A-T diff less than -1SD
828,NI_192,2017,main crop,482.93068578460037,-474.1666666666667,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
846,NI_218,2017,main crop,482.93068578460037,-22.61111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
864,NI_480,2017,main crop,482.93068578460037,806.4444444444445,1: (A>T) avg seasonal A-T diff greater than +1SD
882,NI_660,2017,main crop,482.93068578460037,-34.333333333333336,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
900,NI_697,2017,main crop,482.93068578460037,328.3888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
918,NI_470,2017,main crop,482.93068578460037,71.55555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
936,NI_482,2017,main crop,482.93068578460037,-112.22222222222223,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
