,FieldID,Date,ATdiff,YR
0,NI_295,2016-05-01,-55,2016
1,NI_295,2016-05-10,-101,2016
2,NI_295,2016-05-20,-170,2016
3,NI_295,2016-06-01,-246,2016
4,NI_295,2016-06-10,-335,2016
5,NI_295,2016-06-20,-414,2016
6,NI_295,2016-07-01,-469,2016
7,NI_295,2016-07-10,-504,2016
8,NI_295,2016-07-20,-509,2016
9,NI_295,2016-08-01,-503,2016
10,NI_295,2016-08-10,-469,2016
11,NI_295,2016-08-20,-404,2016
12,NI_295,2016-09-01,-350,2016
13,NI_295,2016-09-10,-276,2016
14,NI_295,2016-09-20,-191,2016
15,NI_295,2016-10-01,-71,2016
16,NI_295,2016-10-10,45,2016
17,NI_295,2016-10-20,96,2016
18,NI_295,2016-11-01,123,2016
19,NI_295,2016-11-10,101,2016
20,NI_295,2016-11-20,50,2016
21,NI_295,2016-12-01,-6,2016
22,NI_295,2016-12-10,-83,2016
23,NI_295,2016-12-20,-132,2016
24,NI_295,2017-01-01,-163,2016
25,NI_295,2017-01-10,-197,2016
26,NI_295,2017-01-20,-180,2016
27,NI_295,2017-02-01,-49,2016
28,NI_295,2017-02-10,34,2016
29,NI_295,2017-02-20,94,2016
30,NI_295,2017-03-01,101,2016
31,NI_295,2017-03-10,141,2016
32,NI_295,2017-03-20,153,2016
33,NI_295,2017-04-01,172,2016
34,NI_295,2017-04-10,169,2016
35,NI_295,2017-04-20,149,2016
36,NI_295,2017-05-01,124,2017
37,NI_295,2017-05-10,102,2017
38,NI_295,2017-05-20,-31,2017
39,NI_295,2017-06-01,-209,2017
40,NI_295,2017-06-10,-465,2017
41,NI_295,2017-06-20,-855,2017
42,NI_295,2017-07-01,-1128,2017
43,NI_295,2017-07-10,-1390,2017
44,NI_295,2017-07-20,-1588,2017
45,NI_295,2017-08-01,-1581,2017
46,NI_295,2017-08-10,-1199,2017
47,NI_295,2017-08-20,-442,2017
48,NI_295,2017-09-01,226,2017
49,NI_295,2017-09-10,527,2017
50,NI_295,2017-09-20,645,2017
51,NI_295,2017-10-01,601,2017
52,NI_295,2017-10-10,478,2017
53,NI_295,2017-10-20,215,2017
54,NI_295,2017-11-01,39,2017
55,NI_295,2017-11-10,-62,2017
56,NI_295,2017-11-20,-213,2017
57,NI_295,2017-12-01,-390,2017
58,NI_295,2017-12-10,-254,2017
59,NI_295,2017-12-20,-269,2017
60,NI_295,2018-01-01,-260,2017
61,NI_295,2018-01-10,-202,2017
62,NI_295,2018-01-20,-185,2017
63,NI_295,2018-02-01,-174,2017
64,NI_295,2018-02-10,-173,2017
65,NI_295,2018-02-20,-165,2017
66,NI_295,2018-03-01,-225,2017
67,NI_295,2018-03-10,-198,2017
68,NI_295,2018-03-20,-166,2017
69,NI_295,2018-04-01,-130,2017
70,NI_295,2018-04-10,-66,2017
71,NI_295,2018-04-20,10,2017
72,NI_295,2018-05-01,134,2018
73,NI_295,2018-05-10,167,2018
74,NI_295,2018-05-20,43,2018
75,NI_295,2018-06-01,-113,2018
76,NI_295,2018-06-10,-132,2018
77,NI_295,2018-06-20,-254,2018
78,NI_295,2018-07-01,-446,2018
79,NI_295,2018-07-10,-586,2018
80,NI_295,2018-07-20,-522,2018
81,NI_295,2018-08-01,-446,2018
82,NI_295,2018-08-10,-192,2018
83,NI_295,2018-08-20,29,2018
84,NI_295,2018-09-01,48,2018
85,NI_295,2018-09-10,10,2018
86,NI_295,2018-09-20,-15,2018
87,NI_295,2018-10-01,-21,2018
88,NI_295,2018-10-10,-34,2018
89,NI_295,2018-10-20,-35,2018
90,NI_295,2018-11-01,-61,2018
91,NI_295,2018-11-10,-61,2018
92,NI_295,2018-11-20,-45,2018
93,NI_295,2018-12-01,-137,2018
94,NI_295,2018-12-10,-202,2018
95,NI_295,2018-12-20,-233,2018
96,NI_295,2019-01-01,-252,2018
97,NI_295,2019-01-10,-208,2018
98,NI_295,2019-01-20,-113,2018
99,NI_295,2019-02-01,-59,2018
100,NI_295,2019-02-10,-24,2018
101,NI_295,2019-02-20,4,2018
102,NI_295,2019-03-01,12,2018
103,NI_295,2019-03-10,33,2018
104,NI_295,2019-03-20,74,2018
105,NI_295,2019-04-01,150,2018
106,NI_295,2019-04-10,235,2018
107,NI_295,2019-04-20,313,2018
108,NI_295,2019-05-01,388,2019
109,NI_295,2019-05-10,505,2019
110,NI_295,2019-05-20,398,2019
111,NI_295,2019-06-01,220,2019
112,NI_295,2019-06-10,-126,2019
113,NI_295,2019-06-20,-454,2019
114,NI_295,2019-07-01,-827,2019
115,NI_295,2019-07-10,-1006,2019
116,NI_295,2019-07-20,-938,2019
117,NI_295,2019-08-01,-589,2019
118,NI_295,2019-08-10,-282,2019
119,NI_295,2019-08-20,-133,2019
120,NI_295,2019-09-01,-31,2019
121,NI_295,2019-09-10,117,2019
122,NI_295,2019-09-20,167,2019
123,NI_295,2019-10-01,148,2019
124,NI_295,2019-10-10,101,2019
125,NI_295,2019-10-20,22,2019
126,NI_295,2019-11-01,95,2019
127,NI_295,2019-11-10,142,2019
128,NI_295,2019-11-20,-31,2019
129,NI_295,2019-12-01,-109,2019
130,NI_295,2019-12-10,14,2019
131,NI_295,2019-12-20,79,2019
132,NI_295,2020-01-01,25,2019
133,NI_295,2020-01-10,29,2019
134,NI_295,2020-01-20,86,2019
135,NI_295,2020-02-01,98,2019
136,NI_295,2020-02-10,89,2019
137,NI_295,2020-02-20,89,2019
138,NI_295,2020-03-01,118,2019
139,NI_295,2020-03-10,104,2019
140,NI_295,2020-03-20,85,2019
141,NI_295,2020-04-01,63,2019
142,NI_295,2020-04-10,41,2019
143,NI_295,2020-04-20,16,2019
144,NI_307,2016-05-01,-108,2016
145,NI_307,2016-05-10,-174,2016
146,NI_307,2016-05-20,-307,2016
147,NI_307,2016-06-01,-337,2016
148,NI_307,2016-06-10,-269,2016
149,NI_307,2016-06-20,-182,2016
150,NI_307,2016-07-01,-107,2016
151,NI_307,2016-07-10,45,2016
152,NI_307,2016-07-20,261,2016
153,NI_307,2016-08-01,420,2016
154,NI_307,2016-08-10,444,2016
155,NI_307,2016-08-20,375,2016
156,NI_307,2016-09-01,270,2016
157,NI_307,2016-09-10,122,2016
158,NI_307,2016-09-20,-14,2016
159,NI_307,2016-10-01,-153,2016
160,NI_307,2016-10-10,-268,2016
161,NI_307,2016-10-20,-349,2016
162,NI_307,2016-11-01,-406,2016
163,NI_307,2016-11-10,-464,2016
164,NI_307,2016-11-20,-531,2016
165,NI_307,2016-12-01,-580,2016
166,NI_307,2016-12-10,-660,2016
167,NI_307,2016-12-20,-733,2016
168,NI_307,2017-01-01,-695,2016
169,NI_307,2017-01-10,-610,2016
170,NI_307,2017-01-20,-481,2016
171,NI_307,2017-02-01,-409,2016
172,NI_307,2017-02-10,-338,2016
173,NI_307,2017-02-20,-239,2016
174,NI_307,2017-03-01,-110,2016
175,NI_307,2017-03-10,-63,2016
176,NI_307,2017-03-20,-34,2016
177,NI_307,2017-04-01,-23,2016
178,NI_307,2017-04-10,-22,2016
179,NI_307,2017-04-20,20,2016
180,NI_307,2017-05-01,38,2017
181,NI_307,2017-05-10,92,2017
182,NI_307,2017-05-20,101,2017
183,NI_307,2017-06-01,93,2017
184,NI_307,2017-06-10,95,2017
185,NI_307,2017-06-20,58,2017
186,NI_307,2017-07-01,-86,2017
187,NI_307,2017-07-10,-286,2017
188,NI_307,2017-07-20,-577,2017
189,NI_307,2017-08-01,-855,2017
190,NI_307,2017-08-10,-912,2017
191,NI_307,2017-08-20,-737,2017
192,NI_307,2017-09-01,-348,2017
193,NI_307,2017-09-10,-94,2017
194,NI_307,2017-09-20,15,2017
195,NI_307,2017-10-01,38,2017
196,NI_307,2017-10-10,59,2017
197,NI_307,2017-10-20,64,2017
198,NI_307,2017-11-01,52,2017
199,NI_307,2017-11-10,42,2017
200,NI_307,2017-11-20,20,2017
201,NI_307,2017-12-01,98,2017
202,NI_307,2017-12-10,196,2017
203,NI_307,2017-12-20,254,2017
204,NI_307,2018-01-01,196,2017
205,NI_307,2018-01-10,179,2017
206,NI_307,2018-01-20,162,2017
207,NI_307,2018-02-01,157,2017
208,NI_307,2018-02-10,156,2017
209,NI_307,2018-02-20,153,2017
210,NI_307,2018-03-01,195,2017
211,NI_307,2018-03-10,166,2017
212,NI_307,2018-03-20,136,2017
213,NI_307,2018-04-01,93,2017
214,NI_307,2018-04-10,47,2017
215,NI_307,2018-04-20,-16,2017
216,NI_307,2018-05-01,-61,2018
217,NI_307,2018-05-10,-149,2018
218,NI_307,2018-05-20,-212,2018
219,NI_307,2018-06-01,-213,2018
220,NI_307,2018-06-10,-182,2018
221,NI_307,2018-06-20,-167,2018
222,NI_307,2018-07-01,-145,2018
223,NI_307,2018-07-10,-132,2018
224,NI_307,2018-07-20,-119,2018
225,NI_307,2018-08-01,-90,2018
226,NI_307,2018-08-10,-66,2018
227,NI_307,2018-08-20,-41,2018
228,NI_307,2018-09-01,22,2018
229,NI_307,2018-09-10,99,2018
230,NI_307,2018-09-20,173,2018
231,NI_307,2018-10-01,212,2018
232,NI_307,2018-10-10,283,2018
233,NI_307,2018-10-20,382,2018
234,NI_307,2018-11-01,491,2018
235,NI_307,2018-11-10,536,2018
236,NI_307,2018-11-20,514,2018
237,NI_307,2018-12-01,421,2018
238,NI_307,2018-12-10,433,2018
239,NI_307,2018-12-20,510,2018
240,NI_307,2019-01-01,518,2018
241,NI_307,2019-01-10,591,2018
242,NI_307,2019-01-20,668,2018
243,NI_307,2019-02-01,614,2018
244,NI_307,2019-02-10,563,2018
245,NI_307,2019-02-20,490,2018
246,NI_307,2019-03-01,373,2018
247,NI_307,2019-03-10,304,2018
248,NI_307,2019-03-20,229,2018
249,NI_307,2019-04-01,178,2018
250,NI_307,2019-04-10,131,2018
251,NI_307,2019-04-20,128,2018
252,NI_307,2019-05-01,132,2019
253,NI_307,2019-05-10,145,2019
254,NI_307,2019-05-20,161,2019
255,NI_307,2019-06-01,119,2019
256,NI_307,2019-06-10,95,2019
257,NI_307,2019-06-20,129,2019
258,NI_307,2019-07-01,401,2019
259,NI_307,2019-07-10,681,2019
260,NI_307,2019-07-20,783,2019
261,NI_307,2019-08-01,862,2019
262,NI_307,2019-08-10,957,2019
263,NI_307,2019-08-20,864,2019
264,NI_307,2019-09-01,777,2019
265,NI_307,2019-09-10,1002,2019
