,FieldID,AgYR,SZNwindow,SznStd,plotSZNmean,Group
0,NI_295,2016,main crop,548.8366477956264,-273.6666666666667,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
18,NI_307,2016,main crop,548.8366477956264,-18.38888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
36,NI_313,2016,main crop,548.8366477956264,127.83333333333333,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
54,NI_385,2016,main crop,548.8366477956264,198.83333333333334,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
72,NI_407,2016,main crop,548.8366477956264,97.44444444444444,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
90,NI_248,2016,main crop,548.8366477956264,-19.27777777777778,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
108,NI_258,2016,main crop,548.8366477956264,-789.0555555555555,4: (T>A) avg seasonal A-T diff less than -1SD
126,NI_147,2016,main crop,548.8366477956264,-1489.388888888889,4: (T>A) avg seasonal A-T diff less than -1SD
144,NI_192,2016,main crop,548.8366477956264,151.38888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
162,NI_218,2016,main crop,548.8366477956264,179.83333333333334,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
180,NI_480,2016,main crop,548.8366477956264,700.8333333333334,1: (A>T) avg seasonal A-T diff greater than +1SD
198,NI_660,2016,main crop,548.8366477956264,12.055555555555555,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
216,NI_697,2016,main crop,548.8366477956264,247.33333333333334,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
234,NI_470,2016,main crop,548.8366477956264,98.72222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
252,NI_482,2016,main crop,548.8366477956264,458.94444444444446,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
270,NI_599,2016,main crop,548.8366477956264,131.77777777777777,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
288,NI_634,2016,main crop,548.8366477956264,129.16666666666666,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
306,NI_698,2016,main crop,548.8366477956264,-235.44444444444446,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
324,NI_581,2016,main crop,548.8366477956264,-81.83333333333333,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
342,NI_295,2016,COVER CROP,681.6782740779153,-54.111111111111114,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
351,NI_307,2016,COVER CROP,681.6782740779153,-573.3333333333334,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
360,NI_313,2016,COVER CROP,681.6782740779153,249.22222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
369,NI_385,2016,COVER CROP,681.6782740779153,284.6666666666667,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
378,NI_407,2016,COVER CROP,681.6782740779153,432.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
387,NI_248,2016,COVER CROP,681.6782740779153,-311.44444444444446,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
396,NI_258,2016,COVER CROP,681.6782740779153,-715.2222222222222,4: (T>A) avg seasonal A-T diff less than -1SD
405,NI_147,2016,COVER CROP,681.6782740779153,-2082.777777777778,4: (T>A) avg seasonal A-T diff less than -1SD
414,NI_192,2016,COVER CROP,681.6782740779153,166.33333333333334,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
423,NI_218,2016,COVER CROP,681.6782740779153,128.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
432,NI_480,2016,COVER CROP,681.6782740779153,1245.2222222222222,1: (A>T) avg seasonal A-T diff greater than +1SD
441,NI_660,2016,COVER CROP,681.6782740779153,168.66666666666666,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
450,NI_697,2016,COVER CROP,681.6782740779153,-93.22222222222223,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
459,NI_470,2016,COVER CROP,681.6782740779153,138.88888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
468,NI_482,2016,COVER CROP,681.6782740779153,951.5555555555555,1: (A>T) avg seasonal A-T diff greater than +1SD
477,NI_599,2016,COVER CROP,681.6782740779153,334.1111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
486,NI_634,2016,COVER CROP,681.6782740779153,133.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
495,NI_698,2016,COVER CROP,681.6782740779153,-126.88888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
504,NI_581,2016,COVER CROP,681.6782740779153,80.66666666666667,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
513,NI_295,2016,CROP RESIDUE,275.52098805840745,107.11111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
522,NI_307,2016,CROP RESIDUE,275.52098805840745,-135.33333333333334,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
531,NI_313,2016,CROP RESIDUE,275.52098805840745,195.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
540,NI_385,2016,CROP RESIDUE,275.52098805840745,-18.0,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
549,NI_407,2016,CROP RESIDUE,275.52098805840745,119.44444444444444,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
558,NI_248,2016,CROP RESIDUE,275.52098805840745,-161.0,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
567,NI_258,2016,CROP RESIDUE,275.52098805840745,-340.3333333333333,4: (T>A) avg seasonal A-T diff less than -1SD
576,NI_147,2016,CROP RESIDUE,275.52098805840745,-489.1111111111111,4: (T>A) avg seasonal A-T diff less than -1SD
585,NI_192,2016,CROP RESIDUE,275.52098805840745,112.33333333333333,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
594,NI_218,2016,CROP RESIDUE,275.52098805840745,77.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
603,NI_480,2016,CROP RESIDUE,275.52098805840745,626.3333333333334,1: (A>T) avg seasonal A-T diff greater than +1SD
612,NI_660,2016,CROP RESIDUE,275.52098805840745,-165.33333333333334,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
621,NI_697,2016,CROP RESIDUE,275.52098805840745,67.55555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
630,NI_470,2016,CROP RESIDUE,275.52098805840745,130.88888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
639,NI_482,2016,CROP RESIDUE,275.52098805840745,281.3333333333333,1: (A>T) avg seasonal A-T diff greater than +1SD
648,NI_599,2016,CROP RESIDUE,275.52098805840745,133.88888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
657,NI_634,2016,CROP RESIDUE,275.52098805840745,-211.55555555555554,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
666,NI_698,2016,CROP RESIDUE,275.52098805840745,114.44444444444444,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
675,NI_581,2016,CROP RESIDUE,275.52098805840745,194.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
684,NI_295,2017,main crop,626.8228510165909,-331.6666666666667,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
702,NI_307,2017,main crop,626.8228510165909,-180.11111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
720,NI_313,2017,main crop,626.8228510165909,307.94444444444446,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
738,NI_385,2017,main crop,626.8228510165909,401.05555555555554,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
756,NI_407,2017,main crop,626.8228510165909,118.5,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
774,NI_248,2017,main crop,626.8228510165909,-100.88888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
792,NI_258,2017,main crop,626.8228510165909,-565.7777777777778,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
810,NI_147,2017,main crop,626.8228510165909,-1634.7222222222222,4: (T>A) avg seasonal A-T diff less than -1SD
828,NI_192,2017,main crop,626.8228510165909,-265.94444444444446,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
846,NI_218,2017,main crop,626.8228510165909,-96.0,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
864,NI_480,2017,main crop,626.8228510165909,1004.7222222222222,1: (A>T) avg seasonal A-T diff greater than +1SD
882,NI_660,2017,main crop,626.8228510165909,157.16666666666666,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
900,NI_697,2017,main crop,626.8228510165909,380.94444444444446,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
918,NI_470,2017,main crop,626.8228510165909,155.61111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
936,NI_482,2017,main crop,626.8228510165909,372.55555555555554,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
954,NI_599,2017,main crop,626.8228510165909,183.11111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
972,NI_634,2017,main crop,626.8228510165909,280.6111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
990,NI_698,2017,main crop,626.8228510165909,176.94444444444446,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1008,NI_581,2017,main crop,626.8228510165909,327.6111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1026,NI_295,2017,COVER CROP,446.101728746685,-199.55555555555554,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1035,NI_307,2017,COVER CROP,446.101728746685,133.22222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1044,NI_313,2017,COVER CROP,446.101728746685,552.1111111111111,1: (A>T) avg seasonal A-T diff greater than +1SD
1053,NI_385,2017,COVER CROP,446.101728746685,60.22222222222222,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1062,NI_407,2017,COVER CROP,446.101728746685,-35.44444444444444,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1071,NI_248,2017,COVER CROP,446.101728746685,20.444444444444443,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1080,NI_258,2017,COVER CROP,446.101728746685,-420.8888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1089,NI_147,2017,COVER CROP,446.101728746685,-1069.0,4: (T>A) avg seasonal A-T diff less than -1SD
1098,NI_192,2017,COVER CROP,446.101728746685,-67.22222222222223,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1107,NI_218,2017,COVER CROP,446.101728746685,32.55555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1116,NI_480,2017,COVER CROP,446.101728746685,727.2222222222222,1: (A>T) avg seasonal A-T diff greater than +1SD
1125,NI_660,2017,COVER CROP,446.101728746685,11.333333333333334,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1134,NI_697,2017,COVER CROP,446.101728746685,165.66666666666666,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1143,NI_470,2017,COVER CROP,446.101728746685,135.22222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1152,NI_482,2017,COVER CROP,446.101728746685,578.4444444444445,1: (A>T) avg seasonal A-T diff greater than +1SD
1161,NI_599,2017,COVER CROP,446.101728746685,314.8888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1170,NI_634,2017,COVER CROP,446.101728746685,-232.0,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1179,NI_698,2017,COVER CROP,446.101728746685,95.88888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1188,NI_581,2017,COVER CROP,446.101728746685,-287.55555555555554,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1197,NI_295,2017,CROP RESIDUE,273.96601334944495,-143.0,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1206,NI_307,2017,CROP RESIDUE,273.96601334944495,120.77777777777777,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1215,NI_313,2017,CROP RESIDUE,273.96601334944495,293.55555555555554,1: (A>T) avg seasonal A-T diff greater than +1SD
1224,NI_385,2017,CROP RESIDUE,273.96601334944495,207.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1233,NI_407,2017,CROP RESIDUE,273.96601334944495,-8.444444444444445,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1242,NI_248,2017,CROP RESIDUE,273.96601334944495,-197.77777777777777,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1251,NI_258,2017,CROP RESIDUE,273.96601334944495,-463.22222222222223,4: (T>A) avg seasonal A-T diff less than -1SD
1260,NI_147,2017,CROP RESIDUE,273.96601334944495,-507.44444444444446,4: (T>A) avg seasonal A-T diff less than -1SD
1269,NI_192,2017,CROP RESIDUE,273.96601334944495,193.88888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1278,NI_218,2017,CROP RESIDUE,273.96601334944495,-31.555555555555557,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1287,NI_480,2017,CROP RESIDUE,273.96601334944495,302.6666666666667,1: (A>T) avg seasonal A-T diff greater than +1SD
1296,NI_660,2017,CROP RESIDUE,273.96601334944495,-371.6666666666667,4: (T>A) avg seasonal A-T diff less than -1SD
1305,NI_697,2017,CROP RESIDUE,273.96601334944495,-43.22222222222222,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1314,NI_470,2017,CROP RESIDUE,273.96601334944495,-352.3333333333333,4: (T>A) avg seasonal A-T diff less than -1SD
1323,NI_482,2017,CROP RESIDUE,273.96601334944495,-199.55555555555554,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1332,NI_599,2017,CROP RESIDUE,273.96601334944495,110.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1341,NI_634,2017,CROP RESIDUE,273.96601334944495,-93.88888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1350,NI_698,2017,CROP RESIDUE,273.96601334944495,103.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1359,NI_581,2017,CROP RESIDUE,273.96601334944495,194.55555555555554,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1368,NI_295,2018,main crop,661.2440241812076,-131.38888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1386,NI_307,2018,main crop,661.2440241812076,-22.555555555555557,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1404,NI_313,2018,main crop,661.2440241812076,278.55555555555554,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1422,NI_385,2018,main crop,661.2440241812076,483.94444444444446,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1440,NI_407,2018,main crop,661.2440241812076,-17.22222222222222,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1458,NI_248,2018,main crop,661.2440241812076,-143.5,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1476,NI_258,2018,main crop,661.2440241812076,-1256.9444444444443,4: (T>A) avg seasonal A-T diff less than -1SD
1494,NI_147,2018,main crop,661.2440241812076,-1707.2777777777778,4: (T>A) avg seasonal A-T diff less than -1SD
1512,NI_192,2018,main crop,661.2440241812076,187.11111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1530,NI_218,2018,main crop,661.2440241812076,-130.44444444444446,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1548,NI_480,2018,main crop,661.2440241812076,564.4444444444445,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1566,NI_660,2018,main crop,661.2440241812076,178.22222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
