,FieldID,Date,ATdiff,YR
0,NI_295,2016-05-01,-328,2016
1,NI_295,2016-05-10,-350,2016
2,NI_295,2016-05-20,-379,2016
3,NI_295,2016-06-01,-361,2016
4,NI_295,2016-06-10,-294,2016
5,NI_295,2016-06-20,-182,2016
6,NI_295,2016-07-01,-142,2016
7,NI_295,2016-07-10,-108,2016
8,NI_295,2016-07-20,-94,2016
9,NI_295,2016-08-01,-74,2016
10,NI_295,2016-08-10,-56,2016
11,NI_295,2016-08-20,-19,2016
12,NI_295,2016-09-01,14,2016
13,NI_295,2016-09-10,64,2016
14,NI_295,2016-09-20,94,2016
15,NI_295,2016-10-01,170,2016
16,NI_295,2016-10-10,205,2016
17,NI_295,2016-10-20,249,2016
18,NI_295,2016-11-01,256,2016
19,NI_295,2016-11-10,232,2016
20,NI_295,2016-11-20,203,2016
21,NI_295,2016-12-01,142,2016
22,NI_295,2016-12-10,86,2016
23,NI_295,2016-12-20,27,2016
24,NI_295,2017-01-01,-39,2016
25,NI_295,2017-01-10,-111,2016
26,NI_295,2017-01-20,-141,2016
27,NI_295,2017-02-01,-148,2016
28,NI_295,2017-02-10,-41,2016
29,NI_295,2017-02-20,101,2016
30,NI_295,2017-03-01,146,2016
31,NI_295,2017-03-10,117,2016
32,NI_295,2017-03-20,111,2016
33,NI_295,2017-04-01,121,2016
34,NI_295,2017-04-10,136,2016
35,NI_295,2017-04-20,147,2016
36,NI_295,2017-05-01,154,2017
37,NI_295,2017-05-10,183,2017
38,NI_295,2017-05-20,211,2017
39,NI_295,2017-06-01,149,2017
40,NI_295,2017-06-10,66,2017
41,NI_295,2017-06-20,-113,2017
42,NI_295,2017-07-01,-339,2017
43,NI_295,2017-07-10,-444,2017
44,NI_295,2017-07-20,-619,2017
45,NI_295,2017-08-01,-649,2017
46,NI_295,2017-08-10,-446,2017
47,NI_295,2017-08-20,-65,2017
48,NI_295,2017-09-01,186,2017
49,NI_295,2017-09-10,196,2017
50,NI_295,2017-09-20,153,2017
51,NI_295,2017-10-01,-49,2017
52,NI_295,2017-10-10,-398,2017
53,NI_295,2017-10-20,-743,2017
54,NI_295,2017-11-01,-739,2017
55,NI_295,2017-11-10,-358,2017
56,NI_295,2017-11-20,-340,2017
57,NI_295,2017-12-01,-550,2017
58,NI_295,2017-12-10,-420,2017
59,NI_295,2017-12-20,-438,2017
60,NI_295,2018-01-01,-404,2017
61,NI_295,2018-01-10,-400,2017
62,NI_295,2018-01-20,-362,2017
63,NI_295,2018-02-01,-329,2017
64,NI_295,2018-02-10,-299,2017
65,NI_295,2018-02-20,-251,2017
66,NI_295,2018-03-01,-190,2017
67,NI_295,2018-03-10,-153,2017
68,NI_295,2018-03-20,-120,2017
69,NI_295,2018-04-01,-98,2017
70,NI_295,2018-04-10,-26,2017
71,NI_295,2018-04-20,-51,2017
72,NI_295,2018-05-01,2,2018
73,NI_295,2018-05-10,81,2018
74,NI_295,2018-05-20,195,2018
75,NI_295,2018-06-01,395,2018
76,NI_295,2018-06-10,337,2018
77,NI_295,2018-06-20,175,2018
