,FieldID,AgYR,SZNwindow,SznStd,plotSZNmean,Group
0,NI_295,2016,main crop,387.2855033257046,-88.38888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
18,NI_307,2016,main crop,387.2855033257046,-429.22222222222223,4: (T>A) avg seasonal A-T diff less than -1SD
36,NI_313,2016,main crop,387.2855033257046,227.16666666666666,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
54,NI_385,2016,main crop,387.2855033257046,-5.388888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
72,NI_407,2016,main crop,387.2855033257046,149.33333333333334,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
90,NI_248,2016,main crop,387.2855033257046,24.61111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
108,NI_258,2016,main crop,387.2855033257046,-516.3333333333334,4: (T>A) avg seasonal A-T diff less than -1SD
126,NI_147,2016,main crop,387.2855033257046,-608.0555555555555,4: (T>A) avg seasonal A-T diff less than -1SD
144,NI_192,2016,main crop,387.2855033257046,105.16666666666667,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
162,NI_218,2016,main crop,387.2855033257046,142.83333333333334,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
180,NI_480,2016,main crop,387.2855033257046,490.1666666666667,1: (A>T) avg seasonal A-T diff greater than +1SD
198,NI_660,2016,main crop,387.2855033257046,70.33333333333333,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
216,NI_697,2016,main crop,387.2855033257046,488.6666666666667,1: (A>T) avg seasonal A-T diff greater than +1SD
234,NI_470,2016,main crop,387.2855033257046,123.33333333333333,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
252,NI_482,2016,main crop,387.2855033257046,477.0,1: (A>T) avg seasonal A-T diff greater than +1SD
270,NI_599,2016,main crop,387.2855033257046,79.77777777777777,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
288,NI_634,2016,main crop,387.2855033257046,30.61111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
306,NI_698,2016,main crop,387.2855033257046,-348.1666666666667,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
324,NI_581,2016,main crop,387.2855033257046,-144.33333333333334,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
342,NI_295,2016,COVER CROP,476.28448829905176,72.77777777777777,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
351,NI_307,2016,COVER CROP,476.28448829905176,-637.7777777777778,4: (T>A) avg seasonal A-T diff less than -1SD
360,NI_313,2016,COVER CROP,476.28448829905176,449.1111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
369,NI_385,2016,COVER CROP,476.28448829905176,398.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
378,NI_407,2016,COVER CROP,476.28448829905176,437.55555555555554,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
387,NI_248,2016,COVER CROP,476.28448829905176,-337.0,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
396,NI_258,2016,COVER CROP,476.28448829905176,-793.1111111111111,4: (T>A) avg seasonal A-T diff less than -1SD
