,FieldID,Date,ATdiff,YR
0,NI_295,2016-05-01,133,2016
1,NI_295,2016-05-10,101,2016
2,NI_295,2016-05-20,77,2016
3,NI_295,2016-06-01,40,2016
4,NI_295,2016-06-10,-8,2016
5,NI_295,2016-06-20,-56,2016
6,NI_295,2016-07-01,-99,2016
7,NI_295,2016-07-10,-130,2016
8,NI_295,2016-07-20,-148,2016
9,NI_295,2016-08-01,-151,2016
10,NI_295,2016-08-10,-140,2016
11,NI_295,2016-08-20,-103,2016
12,NI_295,2016-09-01,-40,2016
13,NI_295,2016-09-10,37,2016
14,NI_295,2016-09-20,137,2016
15,NI_295,2016-10-01,229,2016
16,NI_295,2016-10-10,317,2016
17,NI_295,2016-10-20,354,2016
18,NI_295,2016-11-01,332,2016
19,NI_295,2016-11-10,281,2016
20,NI_295,2016-11-20,204,2016
21,NI_295,2016-12-01,132,2016
22,NI_295,2016-12-10,68,2016
23,NI_295,2016-12-20,24,2016
24,NI_295,2017-01-01,5,2016
25,NI_295,2017-01-10,4,2016
26,NI_295,2017-01-20,3,2016
27,NI_295,2017-02-01,0,2016
28,NI_295,2017-02-10,-35,2016
29,NI_295,2017-02-20,-64,2016
30,NI_295,2017-03-01,-14,2016
31,NI_295,2017-03-10,-23,2016
32,NI_295,2017-03-20,-34,2016
33,NI_295,2017-04-01,-43,2016
34,NI_295,2017-04-10,-51,2016
35,NI_295,2017-04-20,-46,2016
36,NI_295,2017-05-01,-38,2017
37,NI_295,2017-05-10,-29,2017
38,NI_295,2017-05-20,-23,2017
39,NI_295,2017-06-01,-5,2017
40,NI_295,2017-06-10,14,2017
41,NI_295,2017-06-20,49,2017
42,NI_295,2017-07-01,89,2017
43,NI_295,2017-07-10,146,2017
44,NI_295,2017-07-20,164,2017
45,NI_295,2017-08-01,160,2017
46,NI_295,2017-08-10,110,2017
47,NI_295,2017-08-20,92,2017
48,NI_295,2017-09-01,72,2017
49,NI_295,2017-09-10,36,2017
50,NI_295,2017-09-20,19,2017
51,NI_295,2017-10-01,14,2017
52,NI_295,2017-10-10,-5,2017
53,NI_295,2017-10-20,-37,2017
54,NI_295,2017-11-01,-55,2017
55,NI_295,2017-11-10,-86,2017
56,NI_295,2017-11-20,-130,2017
57,NI_295,2017-12-01,-144,2017
58,NI_295,2017-12-10,-120,2017
59,NI_295,2017-12-20,-68,2017
60,NI_295,2018-01-01,-61,2017
61,NI_295,2018-01-10,-57,2017
62,NI_295,2018-01-20,-81,2017
63,NI_295,2018-02-01,-107,2017
64,NI_295,2018-02-10,-131,2017
65,NI_295,2018-02-20,-141,2017
66,NI_295,2018-03-01,-134,2017
67,NI_295,2018-03-10,-109,2017
68,NI_295,2018-03-20,-83,2017
69,NI_295,2018-04-01,-21,2017
70,NI_295,2018-04-10,77,2017
71,NI_295,2018-04-20,189,2017
72,NI_295,2018-05-01,294,2018
73,NI_295,2018-05-10,412,2018
74,NI_295,2018-05-20,534,2018
75,NI_295,2018-06-01,632,2018
76,NI_295,2018-06-10,699,2018
77,NI_295,2018-06-20,643,2018
78,NI_295,2018-07-01,388,2018
79,NI_295,2018-07-10,121,2018
80,NI_295,2018-07-20,-51,2018
81,NI_295,2018-08-01,-130,2018
82,NI_295,2018-08-10,-88,2018
83,NI_295,2018-08-20,-60,2018
84,NI_295,2018-09-01,-49,2018
85,NI_295,2018-09-10,-43,2018
86,NI_295,2018-09-20,-29,2018
87,NI_295,2018-10-01,-36,2018
88,NI_295,2018-10-10,-27,2018
89,NI_295,2018-10-20,-8,2018
90,NI_295,2018-11-01,-4,2018
91,NI_295,2018-11-10,-14,2018
92,NI_295,2018-11-20,-34,2018
93,NI_295,2018-12-01,-47,2018
94,NI_295,2018-12-10,-66,2018
95,NI_295,2018-12-20,-65,2018
96,NI_295,2019-01-01,-70,2018
97,NI_295,2019-01-10,-83,2018
98,NI_295,2019-01-20,-102,2018
99,NI_295,2019-02-01,-101,2018
100,NI_295,2019-02-10,-99,2018
101,NI_295,2019-02-20,-92,2018
102,NI_295,2019-03-01,-96,2018
103,NI_295,2019-03-10,-63,2018
104,NI_295,2019-03-20,-39,2018
