,FieldID,AgYR,SZNwindow,SznStd,plotSZNmean,Group
0,NI_295,2016,main crop,137.79807464398587,30.555555555555557,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
18,NI_307,2016,main crop,137.79807464398587,-96.72222222222223,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
36,NI_313,2016,main crop,137.79807464398587,28.055555555555557,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
54,NI_385,2016,main crop,137.79807464398587,82.66666666666667,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
72,NI_407,2016,main crop,137.79807464398587,-92.27777777777777,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
90,NI_248,2016,main crop,137.79807464398587,84.05555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
108,NI_258,2016,main crop,137.79807464398587,-186.72222222222223,4: (T>A) avg seasonal A-T diff less than -1SD
126,NI_147,2016,main crop,137.79807464398587,-85.94444444444444,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
144,NI_192,2016,main crop,137.79807464398587,107.61111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
162,NI_218,2016,main crop,137.79807464398587,199.55555555555554,1: (A>T) avg seasonal A-T diff greater than +1SD
180,NI_480,2016,main crop,137.79807464398587,60.666666666666664,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
198,NI_660,2016,main crop,137.79807464398587,17.27777777777778,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
216,NI_697,2016,main crop,137.79807464398587,-15.38888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
234,NI_470,2016,main crop,137.79807464398587,-45.833333333333336,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
252,NI_482,2016,main crop,137.79807464398587,-124.27777777777777,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
270,NI_599,2016,main crop,137.79807464398587,188.33333333333334,1: (A>T) avg seasonal A-T diff greater than +1SD
288,NI_634,2016,main crop,137.79807464398587,-117.16666666666667,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
306,NI_698,2016,main crop,137.79807464398587,-56.77777777777778,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
324,NI_581,2016,main crop,137.79807464398587,31.88888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
342,NI_295,2016,COVER CROP,176.03169297471564,117.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
351,NI_307,2016,COVER CROP,176.03169297471564,-180.66666666666666,4: (T>A) avg seasonal A-T diff less than -1SD
360,NI_313,2016,COVER CROP,176.03169297471564,-28.22222222222222,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
369,NI_385,2016,COVER CROP,176.03169297471564,75.77777777777777,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
378,NI_407,2016,COVER CROP,176.03169297471564,17.666666666666668,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
387,NI_248,2016,COVER CROP,176.03169297471564,-44.111111111111114,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
396,NI_258,2016,COVER CROP,176.03169297471564,-20.555555555555557,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
405,NI_147,2016,COVER CROP,176.03169297471564,-532.7777777777778,4: (T>A) avg seasonal A-T diff less than -1SD
414,NI_192,2016,COVER CROP,176.03169297471564,303.55555555555554,1: (A>T) avg seasonal A-T diff greater than +1SD
423,NI_218,2016,COVER CROP,176.03169297471564,81.33333333333333,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
432,NI_480,2016,COVER CROP,176.03169297471564,186.44444444444446,1: (A>T) avg seasonal A-T diff greater than +1SD
441,NI_660,2016,COVER CROP,176.03169297471564,99.22222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
450,NI_697,2016,COVER CROP,176.03169297471564,11.666666666666666,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
459,NI_470,2016,COVER CROP,176.03169297471564,-51.666666666666664,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
468,NI_482,2016,COVER CROP,176.03169297471564,98.11111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
477,NI_599,2016,COVER CROP,176.03169297471564,41.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
486,NI_634,2016,COVER CROP,176.03169297471564,-63.77777777777778,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
495,NI_698,2016,COVER CROP,176.03169297471564,-27.88888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
504,NI_581,2016,COVER CROP,176.03169297471564,27.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
513,NI_295,2016,CROP RESIDUE,94.62377842130621,-34.44444444444444,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
522,NI_307,2016,CROP RESIDUE,94.62377842130621,-26.11111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
531,NI_313,2016,CROP RESIDUE,94.62377842130621,79.55555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
540,NI_385,2016,CROP RESIDUE,94.62377842130621,-20.555555555555557,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
549,NI_407,2016,CROP RESIDUE,94.62377842130621,-28.555555555555557,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
558,NI_248,2016,CROP RESIDUE,94.62377842130621,-113.77777777777777,4: (T>A) avg seasonal A-T diff less than -1SD
567,NI_258,2016,CROP RESIDUE,94.62377842130621,-4.111111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
576,NI_147,2016,CROP RESIDUE,94.62377842130621,-161.77777777777777,4: (T>A) avg seasonal A-T diff less than -1SD
585,NI_192,2016,CROP RESIDUE,94.62377842130621,6.777777777777778,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
594,NI_218,2016,CROP RESIDUE,94.62377842130621,40.44444444444444,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
603,NI_480,2016,CROP RESIDUE,94.62377842130621,207.22222222222223,1: (A>T) avg seasonal A-T diff greater than +1SD
612,NI_660,2016,CROP RESIDUE,94.62377842130621,18.11111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
621,NI_697,2016,CROP RESIDUE,94.62377842130621,-12.222222222222221,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
630,NI_470,2016,CROP RESIDUE,94.62377842130621,28.22222222222222,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
639,NI_482,2016,CROP RESIDUE,94.62377842130621,62.888888888888886,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
648,NI_599,2016,CROP RESIDUE,94.62377842130621,29.11111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
657,NI_634,2016,CROP RESIDUE,94.62377842130621,-95.66666666666667,4: (T>A) avg seasonal A-T diff less than -1SD
666,NI_698,2016,CROP RESIDUE,94.62377842130621,15.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
675,NI_581,2016,CROP RESIDUE,94.62377842130621,39.55555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
684,NI_295,2017,main crop,160.489920751294,46.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
702,NI_307,2017,main crop,160.489920751294,-128.61111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
720,NI_313,2017,main crop,160.489920751294,210.44444444444446,1: (A>T) avg seasonal A-T diff greater than +1SD
738,NI_385,2017,main crop,160.489920751294,70.66666666666667,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
756,NI_407,2017,main crop,160.489920751294,-118.11111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
774,NI_248,2017,main crop,160.489920751294,-51.388888888888886,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
792,NI_258,2017,main crop,160.489920751294,-178.16666666666666,4: (T>A) avg seasonal A-T diff less than -1SD
810,NI_147,2017,main crop,160.489920751294,-193.5,4: (T>A) avg seasonal A-T diff less than -1SD
828,NI_192,2017,main crop,160.489920751294,-42.666666666666664,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
846,NI_218,2017,main crop,160.489920751294,40.44444444444444,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
864,NI_480,2017,main crop,160.489920751294,393.8333333333333,1: (A>T) avg seasonal A-T diff greater than +1SD
882,NI_660,2017,main crop,160.489920751294,127.55555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
900,NI_697,2017,main crop,160.489920751294,125.94444444444444,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
918,NI_470,2017,main crop,160.489920751294,-30.11111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
936,NI_482,2017,main crop,160.489920751294,-21.11111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
954,NI_599,2017,main crop,160.489920751294,73.66666666666667,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
972,NI_634,2017,main crop,160.489920751294,221.33333333333334,1: (A>T) avg seasonal A-T diff greater than +1SD
990,NI_698,2017,main crop,160.489920751294,42.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1008,NI_581,2017,main crop,160.489920751294,57.77777777777778,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
1026,NI_295,2017,COVER CROP,167.0307470217277,-89.11111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
1035,NI_307,2017,COVER CROP,167.0307470217277,-52.0,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
