,FieldID,AgYR,SZNwindow,SznStd,plotSZNmean,Group
0,NI_295,2016,main crop,472.1154133233241,-47.388888888888886,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
18,NI_307,2016,main crop,472.1154133233241,-178.16666666666666,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
36,NI_313,2016,main crop,472.1154133233241,-229.88888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
54,NI_385,2016,main crop,472.1154133233241,29.22222222222222,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
72,NI_407,2016,main crop,472.1154133233241,4.333333333333333,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
90,NI_248,2016,main crop,472.1154133233241,22.22222222222222,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
108,NI_258,2016,main crop,472.1154133233241,-507.05555555555554,4: (T>A) avg seasonal A-T diff less than -1SD
126,NI_147,2016,main crop,472.1154133233241,-82.83333333333333,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
144,NI_192,2016,main crop,472.1154133233241,901.6111111111111,1: (A>T) avg seasonal A-T diff greater than +1SD
162,NI_218,2016,main crop,472.1154133233241,190.72222222222223,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
180,NI_480,2016,main crop,472.1154133233241,374.3888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
198,NI_660,2016,main crop,472.1154133233241,6.277777777777778,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
216,NI_697,2016,main crop,472.1154133233241,-638.1111111111111,4: (T>A) avg seasonal A-T diff less than -1SD
234,NI_470,2016,main crop,472.1154133233241,365.3888888888889,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
252,NI_482,2016,main crop,472.1154133233241,70.55555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
270,NI_599,2016,main crop,472.1154133233241,-8.555555555555555,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
288,NI_634,2016,main crop,472.1154133233241,-206.5,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
306,NI_698,2016,main crop,472.1154133233241,61.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
324,NI_581,2016,main crop,472.1154133233241,-85.05555555555556,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
342,NI_295,2016,COVER CROP,381.8038299549697,20.22222222222222,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
351,NI_307,2016,COVER CROP,381.8038299549697,-156.55555555555554,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
360,NI_313,2016,COVER CROP,381.8038299549697,-166.88888888888889,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
369,NI_385,2016,COVER CROP,381.8038299549697,120.55555555555556,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
378,NI_407,2016,COVER CROP,381.8038299549697,31.0,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
387,NI_248,2016,COVER CROP,381.8038299549697,134.66666666666666,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
396,NI_258,2016,COVER CROP,381.8038299549697,-252.0,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
405,NI_147,2016,COVER CROP,381.8038299549697,274.1111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
414,NI_192,2016,COVER CROP,381.8038299549697,-41.77777777777778,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
423,NI_218,2016,COVER CROP,381.8038299549697,-499.0,4: (T>A) avg seasonal A-T diff less than -1SD
432,NI_480,2016,COVER CROP,381.8038299549697,-337.1111111111111,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
441,NI_660,2016,COVER CROP,381.8038299549697,325.1111111111111,2: (a>t)  avg seasonal A-T diff btwn 0 and +1SD
450,NI_697,2016,COVER CROP,381.8038299549697,-93.55555555555556,3: (t>a) avg seasonal A-T diff btwn 0 and -1SD
