ID_Prod,Ano,Temporada,Parcela,Cultivo,Nom.Cob,Rot,Lab,Ras,Cob,Grid
NI_147,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_147,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_147,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_147,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_147,2018,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_147,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_147,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_147,2019,1.Primera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_147,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_147,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_147,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_147,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_147,2018,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_147,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_147,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_147,2019,1.Primera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_192,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_192,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_192,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_192,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_192,2018,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_192,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_192,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_192,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_192,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_192,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_192,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_192,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_192,2018,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_192,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_192,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_192,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_218,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_218,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_218,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_218,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_218,2018,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_218,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_218,2019,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_218,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2388
NI_218,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_218,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_218,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_218,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_218,2018,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_218,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_218,2019,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2388
NI_218,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2388
NI_248,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2387
NI_248,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2387
NI_248,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2387
NI_248,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2387
